sentiment,guj_text,eng_text
business,"સુકન્યા યોજનામાં 3 મોટા બદલાવ, 1000 નહીં હવે 250 રૂપિયામાં ખુલશે ખાતુ","3 big changes in Sukanya Yojana, account will be opened for 250 rupees instead of 1000"
entertainment,બાળકોની ગણેશ પૂજા કરતી તસવીર શેર કરી ટ્રોલ થઇ ફરાહ ખાન,Farah Khan got trolled by sharing a picture of children doing Ganesh Puja
entertainment,શું છૂપાઇને રેખા સ્પેશલ એપિસોડ જોઇ રહ્યા હતા અમિતાભ?,Was Amitabh secretly watching the Rekha special episode?
tech,"હવે WhatsApp ગ્રૃપમાં બોલીને મોકલી શકશો મેસેજ, માત્ર આ યુઝર્સને થશે ફાયદો","Now you can send messages by speaking in WhatsApp groups, only these users will benefit"
tech,"Xiaomiના આ Smart TVનું આજથી સેલ, સાથે મળશે 80 વર્ષ માટે ફ્રી કન્ટેન્ટ","Xiaomi's Smart TV goes on sale today, will come with free content for 80 years"
business,"અમદાવાદઃખેતરમાંથી સીધી હવે કેસર કેરી ગ્રાહકો સુધી પહોચશે,મેયરે કેરી મહોત્સવ ખુલ્લો મુક્યો","Ahmedabad: Saffron mangoes will now reach consumers directly from the fields, Mayor inaugurates Mango Festival"
entertainment,5 વર્ષ બાદ એક સાથે ઓન-સ્ક્રીન પર નજર આવશે સૈફીના,Saifi will be seen together on-screen after 5 years
business,"આઇડિયા-વોડાફોન એકબીજામાં ભળી જશે, બનશે દેશની સૌથી મોટી ટેલિકોમ કંપની","Idea-Vodafone will merge, become the country's largest telecom company"
tech,મૃત વ્યક્તિઓને આવી રીતે જીવિત રાખવાની તૈયારીમાં વેજ્ઞાનિક!,Scientists preparing to keep dead people alive in this way!
entertainment,PHOTOS: આકાશ અંબાણી અને શ્લોકા મહેતાનાં લગ્નમાં બોલિવૂડનાં A સ્ટાર્સનો જમાવડો,PHOTOS: Bollywood's A-list stars gather at Akash Ambani and Shloka Mehta's wedding
tech,"માત્ર 1947 રૂપિયામાં મળી રહ્યો છે 44 હજારનો ફોન, ફટાફટ કરો બુકિંગ","A phone worth 44 thousand is available for just 1947 rupees, book it quickly"
business,"મળી ગયું હોય બોનસ-ઇન્ક્રીમેન્ટ તો પહેલા કરો 3 કામ, નહીં રહે પૈસાની ટેન્શન","If you have received a bonus-increment, do these 3 things first, there will be no more tension about money."
entertainment,હિના ખાને વેડિંગ મેગેઝીનનાં કવર પેજ માટે કરાવ્યું હોટ ફોટોશૂટ,Hina Khan did a hot photoshoot for the cover of a wedding magazine.
entertainment,એરપોર્ટ પર સ્પોટ થયા વિરાટ-અનુષ્કા અને શાહરૂખ-સુહાના જુઓ Photos,"Virat-Anushka and Shahrukh-Suhana spotted at the airport, see photos"
entertainment,"શું ગરોળી ખાય છે આ એક્ટ્રેસ, મોટાં મોટાં હીરો સાથે કર્યુ છે કામ","Does this actress eat lizards, she has worked with big heroes?"
entertainment,68માં જન્મદિવસ પર રજનીકાંતની ફિલ્મ 'પેટ્ટા'નું ટીઝર થયું રિલીઝ,Teaser of Rajinikanth's film 'Petta' released on his 68th birthday
entertainment,"સારા અને સુઝૈન પાર્લર બહાર થયા સ્પોટ, જુઓ Pics","Sara and Suzanne spotted at parlor, see pics"
entertainment,"આટલા મોંઘા સ્કર્ટમાં નજર આવી પ્રિયંકા ચોપડા, જુઓ તસવીર","Priyanka Chopra seen in such an expensive skirt, see the picture"
tech,‘સ્પીડ’માં બધાને પછાડવા આવી રહ્યો છે OnePlus 6,OnePlus 6 is coming to beat everyone in 'speed'
entertainment,#MeToo: સલમાન ખાન પર બિગ બોસની પૂર્વ સ્પર્ધકે લગાવ્યો બળાત્કારનો આરોપ,#MeToo: Salman Khan accused of rape by former Bigg Boss contestant
tech,"હવે દેશભરમાં મળશે ઇન્ટરનેટ, PCO હેઠળ ખુલશે ડેટા સેન્ટરો","Now internet will be available across the country, data centers will open under PCO"
business,"સતત બીજા દિવસે પણ પેટ્રોલ-ડીઝલના ભાવમાં વધારો, આજે આ ભાવ છે","Petrol-diesel prices rise for second day in a row, these are the prices today"
entertainment,"શ્રીદેવીના રાજકીય સન્માન સાથે અંતિમ સંસ્કાર, RTIમાં થયા ખુલાસા","Sridevi's cremation with political honours, revealed in RTI"
tech,માત્ર 10 હજાર રુપિયામાં બૂક કરાવો Maruti Ciaz,"Book Maruti Ciaz for just Rs 10,000"
entertainment,Lust Stories : ઓર્ગેઝમ સીનમાં લતાજીનું સોન્ગ યૂઝ થતા ગુસ્સે થયો મંગેશકર પરિવાર,Lust Stories: Mangeshkar family angry over Lataji's song being used in orgasm scene
business,"Paytmએ શરૂ કરી નવી સ્કીમ, બેન્કની FDથી વધારે મળશે નફો","Paytm has launched a new scheme, you will get more profit than bank FD"
entertainment,"ટીવીની સૌથી ફેમસ 'ભાભી'નો બદલાયો અંદાજ, હોટ ફોટોઝ VIRAL","TV's most famous 'Bhabhi' has changed her look, hot photos go viral"
entertainment,શા માટે દબંગ-3 માંથી હટાવી દીધી કરીના કપૂરને?,Why was Kareena Kapoor removed from Dabangg 3?
entertainment,"VIDEO: પ્રિયા પ્રકાશની જેમ હવે શિલ્પા શિંદેએ કર્યો આંખથી ઇશારો, આ ક્રિકેટર થયો ઘાયલ","VIDEO: Like Priya Prakash, now Shilpa Shinde made a gesture with her eyes, this cricketer got injured"
entertainment,"'ઓક્ટોબર' પછી મોંઘો થયો વરૂણ, કેટરિનાથી પણ વધુ 25 કરોડ ફી","Varun became expensive after 'October', fee 25 crores more than Katrina"
entertainment,જાણો બોલીવુડના ટોપ 10 એક્ટર્સ એક ફિલ્મની કેટલી ફી લે છે?,Know how much fee Bollywood's top 10 actors charge for a film?
entertainment,"ફિલ્મ 'ઉરી'નું સ્ક્રિનિંગ: સ્ટાર્સે નિહાળી વિક્કી કૌશલની ફિલ્મ, તસવીરોમાં જુઓ રિએક્શન","Screening of the film 'Uri': Stars watched Vicky Kaushal's film, see the reaction in pictures"
tech,"ભારતની આ છે સૌથી મોંઘી કાર, આટલી કિંમતમાં તો તૈયાર થઇ જાય એક મહેલ","This is the most expensive car in India, a palace can be built for this price"
business,Startup India મુજબ નવો વેપાર શરૂ કરવા માટે આ રાજ્ય છે બેસ્ટ,"According to Startup India, this is the best state to start a new business."
entertainment,"બિગ બોસની આ સ્પર્ધકે કરાવ્યું બોલ્ડ ફોટોશૂટ, જુઓ Pics","This Bigg Boss contestant did a bold photoshoot, see pics"
entertainment,આ વીડિયો જોઇને લાગશે કે ઐશ્વર્યા તેમના સાસુને પણ આટલો પ્રેમ નહીં કરતી હોય?,"After watching this video, it seems that Aishwarya doesn't love her mother-in-law that much?"
entertainment,"'ધોની'ની ફિલ્મી ગર્લફ્રેન્ડે શેર કર્યા Bikini Photos, પૂલનાં કિનારે જુઓ તેનો હોટ અંદાજ","Dhoni's film girlfriend shares bikini photos, see her hot look by the pool"
entertainment,"ફરાહ કાદીરે ઇનસ્ટાગ્રામ પર શેર કર્યા બોલ્ડ ફોટો, થયા વાઇરલ","Farah Qadir shared a bold photo on Instagram, it went viral"
entertainment,આ વર્ષે પણ પ્રખ્યાત પુસ્તકો પરથી બનશે ફિલ્મો ...,"This year too, films will be made based on famous books..."
entertainment,"Thugs Of Hindostan: આમિરે જાહેર કર્યો ફિલ્મનો લોગો, આ દિવસે રિલીઝ થશે ફિલ્મ","Thugs Of Hindostan: Aamir reveals the film's logo, the film will be released on this day"
tech,"પાણીમાં પડેલો તમારો ફોન સરખો થઇ જશે, પરંતુ ભુલથી પણ ન કરતા ‘આવું’ કામ","Your phone will be fine if it falls into the water, but don't do this by mistake."
tech,Thurayaએ લોન્ચ કર્યો અનોખો સેટેલાઈટ ફોન,Thuraya launches unique satellite phone
entertainment,"સલમાનનાં લગ્નની ખાસ તૈયારીઓ, જુઓ કોણ છે મિસિસ ખાન?","Special preparations for Salman's wedding, see who is Mrs. Khan?"
business,"મોદી સરકારની કાર ખરીદનારાઓને ભેટ, આ છે નવી પોલિસી","Modi government's gift to car buyers, this is the new policy"
tech,આ નંબર તમને જણાવશે તમારો સ્માર્ટ ફોન વોટરપ્રૂફ છે કે નહીં,This number will tell you if your smartphone is waterproof or not
entertainment,"શ્રદ્ધા કપૂરે 'સ્ત્રી' ના પ્રમોશન માટે અપનાવ્યો હોટ અવતાર, જુઓ તસવીર","Shraddha Kapoor adopts hot avatar for the promotion of 'Stree', see picture"
business,શેરોમાં આવશે ચમક: ડિસેમ્બર સુઘી સેન્સેક્સ જશે 33000 સુઘી,Stocks will shine: Sensex will touch 33000 by December
business,સરકારી બેંકોમાં તમારાં નાણાં સુરક્ષિત રહેશેઃ કેન્દ્રીય પ્રધાન પીયૂષ ગોયલ,Your money will be safe in government banks: Union Minister Piyush Goyal
business,સાવધાન! EPFOની વેબસાઇટમાંથી ડેટા ચોરી થતા તમને થઈ શકે છે આ નુકસાન,Beware! You may suffer this loss due to data theft from EPFO's website
entertainment,શું હવે વરૂણ ધવન કરશે લગ્ન? ગર્લફ્રેન્ડે શરુ કરી તૈયારીઓ,Will Varun Dhawan get married now? Girlfriend has started preparations
entertainment,"10 ખુબ જ સુંદર પાકિસ્તાની અભિનેત્રીઓ, જેનાથી અજાણ છે બોલીવૂડ ફેન્સ","10 very beautiful Pakistani actresses, which Bollywood fans are not aware of"
entertainment,"રાષ્ટ્રપતિથી નારાજ થયા એક્ટર્સ, નેશનલ એવોર્ડ બોયકોટ કરવાની આપી ચીમકી","Actors angry with President, threaten to boycott National Awards"
business,"માત્ર 59 મિનિટમાં મળશે રૂ.1 કરોડની લોન; કાલથી જ, જાણો કેવી રીતે ?","Get a loan of Rs. 1 crore in just 59 minutes; from tomorrow itself, know how?"
business,10 હજાર લગાવીને લાખો રૂપિયા બનાવવાની તક!,Opportunity to make millions of rupees by investing 10 thousand!
tech,Youtube સાથે જોડાયેલ આ વાતો કદાચ તમને ક્યારે નહીં સાંભળી હોય,You may have never heard of these things related to YouTube.
business,"માટી વગર કરો ખેતી, ઘરે બેસી આ Businessથી કરો અઢળક કમાણી","Do farming without soil, earn a lot of money from this business sitting at home"
tech,6GB રેમ અને ડ્યુઅલ રિયર કેમેરા સાથે Moto G6 Plus લોન્ચ,Moto G6 Plus launched with 6GB RAM and dual rear cameras
entertainment,Latest Photos:પહેલાં કરતાં ઘણી જ પાતળી થઇ ગઇ છે સોનાક્ષી,Latest Photos: Sonakshi has become much thinner than before
entertainment,જુઓ બોલિવૂડ સેલિબ્રિટીઝનાં અવનવા Tattoos,See the latest tattoos of Bollywood celebrities
business,સોનાના આભૂષણો ખરીદવાનો છે પ્લાન? તો થોડો સમય રોકાઈ જાવ,Planning to buy gold jewelry? Then wait a while.
entertainment,"'ઠગ્સ..'માં જુઓ બિગ બીનો 'ખુદાબક્ષ' અદાજ, અન્ય ફિલ્મોમાં સેલિબ્રિટીઝનાં First look","Watch Big B's 'Khudabax' ada in 'Thugs..', first look of celebrities in other films"
business,"અમદાવાદઃઓર્ગેનિક ચોખાથી ચેતજો!,સ્વાસ્થ સાથે થઇ રહ્યા છે ચેડા!","Ahmedabad: Be careful with organic rice!, your health is being compromised!"
business,વરિષ્ઠ નાગરિકોએ ઈન્ડિયન રેલવેને ભેટમાં આપ્યા 40 કરોડ રૂપિયા,Senior citizens gift Rs 40 crore to Indian Railways
entertainment,...અને વિદ્યા બાલને શેર કર્યા રિઅલ લાઇફનાં 'બેડરૂમ સિક્રેટ'!,...and Vidya Balan shared her real-life 'bedroom secret'!
tech,"19 એપ્રિલે લોન્ચ થશે Motorolaનો આ ફોન, લીક થયા ફોટો અને ફીચર્સ","This Motorola phone will be launched on April 19, photos and features leaked"
business,ભડકે બળતા ભાવઃ રાજ્યના અનેક શહેરોમાં પેટ્રોલની કિંમત રૂ. 80ને પાર,Rising prices: Petrol price crosses Rs. 80 in many cities of the state
business,"નીરવ મોદીના જેકેટમાં એવુ શું છે ખાસ, જેની કિંમત છે આઠ લાખ રૂપિયા","What is so special about Nirav Modi's jacket, which costs eight lakh rupees?"
entertainment,"રણબીર નહીં પરંતુ આ કારણે આલિયા ભટ્ટ હતી પરેશાન, વાયરલ તસવીરનું ખુલ્યું રહસ્ય","Not Ranbir but this is why Alia Bhatt was upset, the secret of the viral picture is revealed"
tech,"Realme 2 અને Redmi 6 Pro: ક્યો ફોન છે તમારા માટે બેસ્ટ, જાણી લો આ ખાસ વાતો","Realme 2 and Redmi 6 Pro: Which phone is best for you, know these special things"
business,"જાણો, બજેટમાં શું સસ્તુ થયું? શું મોંઘું થયું?","Find out, what became cheaper in the budget? What became more expensive?"
business,ભારતની સૌથી ફાસ્ટ Train 18 4 ફેબ્રુઆરીથી થશે શરૂ,India's fastest Train 18 to start from February 4
entertainment,'સંજૂ'ની ટિકા કરવા બદલ બહેન પ્રિયાનો RSSને જવાબ- 'મારો ભાઇ રોલ મોડલ છે',Sister Priya's response to RSS for criticizing 'Sanju' - 'My brother is a role model'
entertainment,12000 વેબસાઇટ બ્લોક કરવા છતા ગણતરીનાં કલાકોમાં લિક થઇ ગઇ રજની-અક્કીની '2.0',"Despite blocking 12000 websites, Rajini-Akkineni's '2.0' leaked within hours"
tech,ગોવાના લોકોની ટૂરિસ્ટ્સને સલાહ- Google Map પર ન કરો વિશ્વાસ,Goan people's advice to tourists - Don't trust Google Maps
tech,SAMSUNG આ મહિનામાં ભારતમાં લોન્ચ કરશે આ ચાર સ્માર્ટફોન,Samsung will launch these four smartphones in India this month
business,"એક જ નિર્ણયથી બદલાઈ ગઈ કિસ્મત, વર્ષભરમાં ફેમિલીને કરાવ્યો કરોડોનો ફાયદો","A single decision changed fate, brought crores of rupees to the family throughout the year"
business,"સોમવારે માલ્યાના પ્રત્યર્પણ પર આવી શકે છે ચુકાદો, CBI-EDની ટીમ બ્રિટન જવા રવાના","Verdict on Mallya's extradition may come on Monday, CBI-ED team leaves for Britain"
tech,"સામે આવ્યું Maruti Balenoનું અપગ્રેડ વર્ઝન, શું તમે જોયું?","The upgraded version of Maruti Baleno has surfaced, have you seen it?"
business,"RBI બહાર પાડશે રૂ.100ની નવી નોટ, આવી રીતે કરો અસલી-નકલીની ઓળખ","RBI will issue new Rs. 100 note, this is how to identify real and fake"
tech,Happy Diwali 2018: આ રીતે ફોડશો ફટાકડા તો નહીં થાય ધુમાડો,"Happy Diwali 2018: Burst crackers in this way, no smoke"
tech,"Facebook હોય કે Twitter, ભૂલથી પણ શેર ન કરો આ 7 વાત","Be it Facebook or Twitter, don't share these 7 things even by mistake"
business,સારા બજેટના સંકેત : CM આનંદીબેન પટેલે શું કહ્યું? જોવો Video,Signs of a good budget: What did CM Anandiben Patel say? Watch Video
entertainment,ફિલ્મફેરની કવર ગર્લ બનીને આ એકટ્રેસ પ્રિયંકાને આપી રહી છે ટક્કર,This actress is giving competition to Priyanka by becoming the cover girl of Filmfare
business,વચગાળાનું બજેટ એટલે શું? કેમ વચગાળાનું બજેટ રજૂ કરવામાં આવે છે?,What is an interim budget? Why is an interim budget presented?
entertainment,ટીવીની હોટનેસ એકટ્રેસે બિકિની ફોટા શેર કરી મચાવી સનસનાટી,TV's hot actress creates sensation by sharing bikini photos
entertainment,આપની ફેવરેઇટ સિરિયલ 'યે હૈ મોહાબતે'માં થશે વધુ એક પાત્રનું મોત,Another character will die in your favorite serial 'Yeh Hai Mohabbatein'
business,સન ફાર્માના માલિકને એક ઈ-મેલે આપ્યો મોટો ઝટકો! 15 મિનિટમાં ડૂબ્યા 10 હજાર કરોડ,An email gave a big blow to the owner of Sun Pharma! 10 thousand crores sank in 15 minutes
entertainment,"તસવીર જોઇને કહો કોણ છે આ અભિનેત્રી, આજે છે બોલિવૂડની સુપરસ્ટાર","Look at the picture and tell who this actress is, today she is a Bollywood superstar."
business,"સૌથી સસ્તા 'ફ્રીડમ 251' સ્માર્ટફોનની વેબસાઇટ ક્રેશ, બુકીંગ થયું બંધ!","The website of the cheapest 'Freedom 251' smartphone crashes, bookings closed!"
entertainment,"પ્રિયંકા-નિક બન્યા જીવનસાથી, મહેંદી સેરેમનીની તસવીરો આવી સામેઃ PICS","Priyanka-Nick become spouses, pictures of Mehndi ceremony surfaced: PICS"
tech,WhatsApp પર સમાચાર મેળવવા માટે બસ આટલું કરો!,Just do this to get news on WhatsApp!
tech,Instagram પર ફોલોઅર્સ વધારવા છે? તો અપાનાવો આ પાંચ રીત,Want to increase followers on Instagram? Then try these five ways
entertainment,"શું લીક થઇ ગઇ મલાઇકા-અર્જુનનાં લગ્નની તારીખ, વાંચો સંપૂર્ણ માહિતી","Has Malaika-Arjun's wedding date been leaked, read the full details"
tech,"ખાસ ડિસ્પ્લે સાથે લોન્ચ થયો Huaweiનો આ સ્માર્ટફોન, આઈફોન Xને આપશે ટક્કર?","This Huawei smartphone launched with a special display, will it compete with the iPhone X?"
entertainment,"PHOTOS:આજના એપિસોડમાં ઇન્ટિમેટ થશે ઝોયા-આદિત્ય, જોવા મળશે 'બેપનાહ' પ્રેમ","PHOTOS: Zoya-Aditya will get intimate in today's episode, 'Bepanah' love will be seen"
tech,"Photos: ભારતમાં લોન્ચ થઇ નવી હ્યુન્ડાઇ સેન્ટ્રો હેચબેક કાર, જુઓ તસવીરો","Photos: New Hyundai Santro hatchback car launched in India, see photos"
business,હવે એરટેલનું ઈન્ટરનેટ પેક પણ થયું મોંઘુ,Now Airtel's internet pack has also become expensive.
entertainment,આ પાકિસ્તાની એક્ટ્રેસને પોતાના જન્મ દિવસે મળ્યા ખરાબ સમાચાર...,This Pakistani actress got bad news on her birthday...
entertainment,"BIRTHDAY SPECIAL: સોનમ કપૂરના 15 લૂક, જે તેને બનાવે છે સ્ટાઈલ ક્વીન",BIRTHDAY SPECIAL: 15 looks of Sonam Kapoor that make her a style queen
tech,"Skoda superb spotline ભારતમાં લોન્ચ, લૂક્સ એવો છે કે Audi, Mercedes પણ થઇ ગઇ ફેલ","Skoda Superb Spotline launched in India, looks like Audi, Mercedes have also failed"
entertainment,"'તારક મહેતા....' માં પરત ફરશે 'દયાબેન'?, શો મેકર્સે કર્યો ખુલાસો","Will 'Dayaben' return in 'Taarak Mehta...'?, show makers reveal"
business,મેહુલ ચોકસીના સહયોગી દીપક કુલકર્ણીની કોલકાત્તા એરપોર્ટથી ધરપકડ,Mehul Choksi's associate Deepak Kulkarni arrested from Kolkata airport
entertainment,"સોનાલી બેન્દ્રે બાદ આ અભિનેત્રીને થયું કેન્સર, કહ્યું - 'ત્રીજા સ્ટેજ પર છું'","After Sonali Bendre, this actress got cancer, said - 'I am on the third stage'"
entertainment,"Leaked Video: આ છે શ્રેયા સરનનાં લગ્નનો પુરાવો, જોઇ લો તમે જ","Leaked Video: This is the proof of Shreya Saran's marriage, see for yourself"
business,"યૂનિવર્સલ બેઝિક ઇનકમ વિશે ચિદમ્બરમે કહ્યુ, ફક્ત ગરીબોને મળશે ફાયદો","Chidambaram said about Universal Basic Income, only the poor will get the benefit"
tech,"દિવાળી પર બમ્પર ધમાકો, આ કાર પર મળી રહ્યું છે ભારે ડિસ્કાઉન્ટ","Bumper explosion on Diwali, huge discounts are being offered on this car"
entertainment,"ફરી લગ્ન કરવા માગે છે કરીના કપૂર ખાન, જાણો શું છે કારણ","Kareena Kapoor Khan wants to get married again, know the reason"
tech,"Samsung M10, M20ના ફોન પર મળી રહ્યો છે રુ.3110નો ફાયદો","Samsung M10, M20 phones are getting a benefit of Rs. 3110"
tech,"ક્યારે પણ ન ખરીદો તમારા મોબાઈલ માટે આવું કવર, થઈ શકે છે ભારે નુકશાન","Never buy such a cover for your mobile, it can cause huge damage"
entertainment,"આરકે સ્ટુડિયોમાં આખરી ગણપતિ વિસર્જન, ભાવુક બની કપૂર પરિવારે આપી વિદાય","The last Ganpati immersion at RK Studio, the Kapoor family bids farewell in an emotional manner"
business,Budget 2019: બજેટ દરમિયાન સદનમાં કેમ લાગ્યા ‘મોદી-મોદી’ના નારા,Budget 2019: Why were 'Modi-Modi' slogans raised in the House during the Budget?
business,"હિંમતનગરઃશાકભાજીના ભાવ આસમાને પહોંચ્યા,મોંઘવારીમાં ગૃહિણીઓનું બજેટ ખોરવાયું","Himmatnagar: Vegetable prices have skyrocketed, inflation has ruined the budget of housewives"
business,"દાળની વધતી કિંમતો મામલે જાગી સરકાર, બોલાવી ખાસ બેઠક","Government wakes up to rising prices of pulses, calls special meeting"
tech,"આ વર્ષે 5G ટેક્નોલોજીની રહેશે બોલબોલા, સેકન્ડ્સમાં જ ડાઉનલોડ થશે વીડિયો","This year, 5G technology will be the talk of the town, videos will be downloaded in seconds"
business,"સપ્ટેમ્બરથી બદલાઈ જશે કાર-સ્કૂટરના વીમાના નિયમો, ચૂકવવા પડશે વધારે પૈસા","Car and scooter insurance rules will change from September, more money will have to be paid"
business,"સસ્તી હવાઈ મુસાફરીનો ફરી અવસર, આ કંપનીઓએ નીકાળ્યો 900 રૂપિયામાં સેલ","Another opportunity for cheap air travel, these companies launched a sale for Rs 900"
business,"બજેટ 2019: નાના ખેડૂતો માટે સરકારની મોટી જાહેરાત, વર્ષે રૂ. 6 હજારની સહાય ચુકવાશે","Budget 2019: Government's big announcement for small farmers, Rs. 6 thousand assistance will be paid annually"
business,"શું તમે જાણો છો, એક ફોન પર કેટલું કમાય છે સેમસંગ, એપલ જેવી કંપનીઓ",Do you know how much companies like Samsung and Apple earn on a single phone?
tech,Gmail યૂઝર્સ માટે આવી રહ્યું છે શાનદાર ફિચર!,A great feature is coming for Gmail users!
entertainment,"અનિલ કપૂરે PM મોદી સાથે કરી ખાસ મુલાકાત, કહી આ વાત","Anil Kapoor had a special meeting with PM Modi, said this"
entertainment,"બહેન ફરાહ ખાને સાજિદની હરકત પર કરી કમેન્ટ, કહ્યું કઇક આવું!","Sister Farah Khan commented on Sajid's behavior, said something like this!"
business,રિલાયન્સ ઇન્ડસ્ટ્રીઝના નફામાં 7398 કરોડનો થયો વધારો,Reliance Industries' profit increases by Rs 7398 crore
tech,"આ ફોન ખરીદવાનો આજે છેલ્લો દિવસ, જો નહી ખરીદો તો પસ્તાશો","Today is the last day to buy this phone, if you don't buy it, you will regret it"
entertainment,પ્રિયંકાએ ખાસ ફોટો શેર કરીને સગાઇનાં સમચાર કર્યા પાક્કા!,Priyanka confirmed the engagement news by sharing a special photo!
business,19 કરોડ લોકોના PAN કાર્ડ થઇ જશે રદ્દ! જાણો શા માટે,PAN cards of 19 crore people will be cancelled! Know why
business,"RBIએ નાના વેપારીઓને આપી મોટી રાહત, આ થશે ફાયદા","RBI has given big relief to small traders, these will be the benefits"
entertainment,કો-એકટ્રેસને કિસ કર્યા બાદ લોકપ્રિય બનેલી લીના સ્વીમશૂટમાં આવી નજર,"Lee, who became popular after kissing her co-actress, was spotted in a swimsuit."
business,"સેન્સેક્સમાં હાહાકાર, જોવો વીડિયો","Sensex in turmoil, watch video"
entertainment,સની પર લાગ્યો આ અભિનેત્રીનો નંબર પોર્ન ઈન્ડસ્ટ્રીમાં આપવાનો આરોપ,Sunny accused of giving this actress's number to the porn industry
entertainment,"મા દુર્ગાની આરાધનામાં ડુબ્યા બોલિવૂડ સેલિબ્રિટીઝ, જુઓ વર્ષ 2018ની તસવીરો","Bollywood celebrities immersed in the worship of Maa Durga, see pictures from the year 2018"
entertainment,"તનુશ્રી-નાના વિવાદમાં ડેઝી શાહે નોંધાવ્યું નિવેદન, પોલીસ સ્ટેશનમાં વિતાવ્યા અઢી કલાક","Daisy Shah filed a statement in the Tanushree-Nana dispute, spent two and a half hours in the police station"
business,હોળી સ્પેશલ: ફક્ત રૂ. 1000 મળશે વિમાનની ટિકિટ,Holi Special: Get a flight ticket for just Rs. 1000
entertainment,"'બાહુબલી'ની ફિલ્મ 'શાહો'ના એક સીનમાં ખર્ચાયા 90 કરોડ, જાણો કેવી હશે આ ફાઇટ","90 crores spent on a scene of 'Baahubali's' film 'Shaho', know what this fight will be like"
entertainment,ભજન સમ્રાટ અનુપ જલોટા 37 વર્ષ નાની ગર્લફ્રેન્ડને લીધે ચર્ચામાં,Bhajan Samrat Anup Jalota in the news for his 37-year-younger girlfriend
tech,"2019માં આવનારી આ ટેકનોલોજી બદલી નાખશે તમારી જિંદગી, જાણો અહીં","This technology coming in 2019 will change your life, know here"
tech,"ફ્લિપકાર્ટ પર આવ્યો માઈક્રોમેક્સનો નવો બજેટ સ્માર્ટફોન, જાણો ખાસિયતો","Micromax's new budget smartphone launched on Flipkart, know its features"
business,"મોદીએ કરાવ્યું બેંકોની 500 શાખાઓમાં સ્ટીંગ, 400 સીડી નાણા મંત્રાલય મોકલાઇ","Modi conducted stings in 500 bank branches, 400 CDs were sent to the Finance Ministry"
business,"ભારતીય શેરબજારમાં કડાકો, સેન્સેક્સમાં 500 પોઇન્ટનો ઘટાડો","Indian stock market crashes, Sensex falls 500 points"
tech,"PUBGના લવર્સ માટે ખુશખબર, થયા નવા બદલાવ","Good news for PUBG lovers, new changes have been made."
entertainment,PHOTOS: ટીવીની સંસ્કારી વહૂ જ્યારે બિકિની પહેરી દરિયામાં ઉતરી...,PHOTOS: When TV's Sanskari Wahu went into the sea wearing a bikini...
business,"સરકારી કર્મચારીઓને કેન્દ્રની ભેટ, મળશે બોનસ","Government employees will get a gift from the center, bonus"
entertainment,સોનમના લગ્ન પહેલા ડાન્સની પ્રેક્ટિસનો VIDEO લીક,VIDEO of Sonam's dance practice before her wedding leaked
